api_order,api_text,class_dot,method_name,matched_count,matched_signatures
0,android.accounts.AccountManager addAccount,android.accounts.AccountManager,addAccount,0,[]
1,android.accounts.AccountManager addOnAccountsUpdatedListener,android.accounts.AccountManager,addOnAccountsUpdatedListener,0,[]
2,android.accounts.AccountManager blockingGetAuthToken,android.accounts.AccountManager,blockingGetAuthToken,0,[]
3,android.accounts.AccountManager confirmCredentials,android.accounts.AccountManager,confirmCredentials,0,[]
4,android.accounts.AccountManager editProperties,android.accounts.AccountManager,editProperties,0,[]
5,android.accounts.AccountManager getAccounts,android.accounts.AccountManager,getAccounts,0,[]
6,android.accounts.AccountManager getAccountsByType,android.accounts.AccountManager,getAccountsByType,0,[]
7,android.accounts.AccountManager getAccountsByTypeAndFeatures,android.accounts.AccountManager,getAccountsByTypeAndFeatures,0,[]
8,android.accounts.AccountManager getAuthToken,android.accounts.AccountManager,getAuthToken,0,[]
9,android.accounts.AccountManager getAuthTokenByFeatures,android.accounts.AccountManager,getAuthTokenByFeatures,0,[]
10,android.accounts.AccountManager getAuthTokenLabel,android.accounts.AccountManager,getAuthTokenLabel,0,[]
11,android.accounts.AccountManager hasFeatures,android.accounts.AccountManager,hasFeatures,0,[]
12,android.accounts.AccountManager removeAccount,android.accounts.AccountManager,removeAccount,0,[]
13,android.accounts.AccountManager updateCredentials,android.accounts.AccountManager,updateCredentials,0,[]
14,android.app.ActivityManager getRunningAppProcesses,android.app.ActivityManager,getRunningAppProcesses,0,[]
15,android.app.ActivityManager getRunningServices,android.app.ActivityManager,getRunningServices,0,[]
16,android.app.ActivityManager getRunningTasks,android.app.ActivityManager,getRunningTasks,0,[]
17,android.app.ActivityManager killBackgroundProcesses,android.app.ActivityManager,killBackgroundProcesses,0,[]
18,android.app.AlertDialog AlertDialog,android.app.AlertDialog,AlertDialog,0,[]
19,android.app.AlertDialog onCreate,android.app.AlertDialog,onCreate,0,[]
20,android.app.Application Application,android.app.Application,Application,0,[]
21,android.app.Application attachBaseContext,android.app.Application,attachBaseContext,0,[]
22,android.app.Application getDir,android.app.Application,getDir,0,[]
23,android.app.Application onCreate,android.app.Application,onCreate,0,[]
24,android.app.Dialog dispatchKeyEvent,android.app.Dialog,dispatchKeyEvent,0,[]
25,android.app.Dialog setOnKeyListener,android.app.Dialog,setOnKeyListener,0,[]
26,android.app.DownloadManager addCompletedDownload,android.app.DownloadManager,addCompletedDownload,0,[]
27,android.app.DownloadManager enqueue,android.app.DownloadManager,enqueue,0,[]
28,android.app.DownloadManager getUriForDownloadedFile,android.app.DownloadManager,getUriForDownloadedFile,0,[]
29,android.app.Instrumentation callActivityOnNewIntent,android.app.Instrumentation,callActivityOnNewIntent,0,[]
30,android.app.Instrumentation callActivityOnPostCreate,android.app.Instrumentation,callActivityOnPostCreate,0,[]
31,android.app.Instrumentation callActivityOnRestoreInstanceState,android.app.Instrumentation,callActivityOnRestoreInstanceState,0,[]
32,android.app.Instrumentation callActivityOnSaveInstanceState,android.app.Instrumentation,callActivityOnSaveInstanceState,0,[]
33,android.app.Instrumentation callActivityOnStart,android.app.Instrumentation,callActivityOnStart,0,[]
34,android.app.Instrumentation callActivityOnUserLeaving,android.app.Instrumentation,callActivityOnUserLeaving,0,[]
35,android.app.Instrumentation onException,android.app.Instrumentation,onException,0,[]
36,android.app.KeyguardManager exitKeyguardSecurely,android.app.KeyguardManager,exitKeyguardSecurely,0,[]
37,android.app.Service onConfigurationChanged,android.app.Service,onConfigurationChanged,0,[]
38,android.app.Service onLowMemory,android.app.Service,onLowMemory,0,[]
39,android.app.Service onStart,android.app.Service,onStart,0,[]
40,android.app.Service onStartCommand,android.app.Service,onStartCommand,0,[]
41,android.bluetooth.BluetoothAdapter getAddress,android.bluetooth.BluetoothAdapter,getAddress,0,[]
42,android.content.BroadcastReceiver abortBroadcast,android.content.BroadcastReceiver,abortBroadcast,0,[]
43,android.content.ContentResolver delete,android.content.ContentResolver,delete,0,[]
44,android.content.Context bindService,android.content.Context,bindService,0,[]
45,android.content.Context fileList,android.content.Context,fileList,0,[]
46,android.content.Context registerReceiver,android.content.Context,registerReceiver,0,[]
47,android.content.Context sendBroadcast,android.content.Context,sendBroadcast,0,[]
48,android.content.Context startActivity,android.content.Context,startActivity,0,[]
49,android.content.Context startService,android.content.Context,startService,0,[]
50,android.content.Context stopService,android.content.Context,stopService,0,[]
51,android.content.ContextWrapper createPackageContext,android.content.ContextWrapper,createPackageContext,0,[]
52,android.content.ContextWrapper removeStickyBroadcast,android.content.ContextWrapper,removeStickyBroadcast,0,[]
53,android.content.ContextWrapper sendBroadcast,android.content.ContextWrapper,sendBroadcast,0,[]
54,android.content.ContextWrapper sendBroadcastAsUser,android.content.ContextWrapper,sendBroadcastAsUser,0,[]
55,android.content.ContextWrapper sendOrderedBroadcast,android.content.ContextWrapper,sendOrderedBroadcast,0,[]
56,android.content.ContextWrapper sendOrderedBroadcastAsUser,android.content.ContextWrapper,sendOrderedBroadcastAsUser,0,[]
57,android.content.ContextWrapper sendStickyBroadcast,android.content.ContextWrapper,sendStickyBroadcast,0,[]
58,android.content.ContextWrapper sendStickyBroadcastAsUser,android.content.ContextWrapper,sendStickyBroadcastAsUser,0,[]
59,android.content.ContextWrapper sendStickyOrderedBroadcast,android.content.ContextWrapper,sendStickyOrderedBroadcast,0,[]
60,android.content.ContextWrapper sendStickyOrderedBroadcastAsUser,android.content.ContextWrapper,sendStickyOrderedBroadcastAsUser,0,[]
61,android.content.ContextWrapper stopService,android.content.ContextWrapper,stopService,0,[]
62,android.content.IntentFilter setPriority,android.content.IntentFilter,setPriority,0,[]
63,android.content.pm.PackageManager getPackageArchiveInfo,android.content.pm.PackageManager,getPackageArchiveInfo,0,[]
64,android.content.pm.ProviderInfo ProviderInfo,android.content.pm.ProviderInfo,ProviderInfo,0,[]
65,android.content.pm.ServiceInfo ServiceInfo,android.content.pm.ServiceInfo,ServiceInfo,0,[]
66,android.content.res.Configuration setToDefaults,android.content.res.Configuration,setToDefaults,0,[]
67,android.database.sqlite.SQLiteDatabase create,android.database.sqlite.SQLiteDatabase,create,0,[]
68,android.database.sqlite.SQLiteDatabase delete,android.database.sqlite.SQLiteDatabase,delete,0,[]
69,android.database.sqlite.SQLiteDatabase deleteDatabase,android.database.sqlite.SQLiteDatabase,deleteDatabase,0,[]
70,android.database.sqlite.SQLiteDatabase execSQL,android.database.sqlite.SQLiteDatabase,execSQL,0,[]
71,android.database.sqlite.SQLiteDatabase insert,android.database.sqlite.SQLiteDatabase,insert,0,[]
72,android.database.sqlite.SQLiteDatabase insertWithOnConflict,android.database.sqlite.SQLiteDatabase,insertWithOnConflict,0,[]
73,android.database.sqlite.SQLiteDatabase isOpen,android.database.sqlite.SQLiteDatabase,isOpen,0,[]
74,android.database.sqlite.SQLiteDatabase query,android.database.sqlite.SQLiteDatabase,query,0,[]
75,android.database.sqlite.SQLiteDatabase rawQuery,android.database.sqlite.SQLiteDatabase,rawQuery,0,[]
76,android.database.sqlite.SQLiteDatabase update,android.database.sqlite.SQLiteDatabase,update,0,[]
77,android.database.sqlite.SQLiteDatabase updateWithOnConflict,android.database.sqlite.SQLiteDatabase,updateWithOnConflict,0,[]
78,android.database.sqlite.SQLiteOpenHelper SQLiteOpenHelper,android.database.sqlite.SQLiteOpenHelper,SQLiteOpenHelper,0,[]
79,android.graphics.drawable.NinePatchDrawable NinePatchDrawable,android.graphics.drawable.NinePatchDrawable,NinePatchDrawable,0,[]
80,android.graphics.NinePatch isNinePatchChunk,android.graphics.NinePatch,isNinePatchChunk,0,[]
81,android.hardware.Camera open,android.hardware.Camera,open,0,[]
